field,den,n,temp,ss_val,ss_fluc,ht_val,ht_fluc,mag_val,mag_fluc
0.15,0.25,169,1.77E-02,2.83E-02,0,0.958007813,0,0.97578946,2.17E-04
0.15,0.3,169,1.78E-02,2.64E-02,0,0.958984375,0,0.976042524,2.27E-04
0.15,0.35,169,1.78E-02,1.76E-02,0,0.981445313,0,0.982843151,1.76E-04
0.15,0.4,169,1.78E-02,1.46E-02,0,0.971679688,0,0.982913659,1.50E-04
0.15,0.45,169,1.79E-02,9.77E-03,0,0.984375,0,0.986934663,1.24E-04
0.15,0.5,169,1.79E-02,1.37E-02,0,0.983398438,0,0.985773528,1.03E-04
0.15,0.55,169,1.79E-02,9.77E-02,0,0.962890625,0,0.927997137,1.32E-04
0.15,0.6,218,3.71E-02,0.434357422,4.29E-04,0.820620313,1.25E-03,0.660185317,2.08E-04
0.16,0.05,169,1.75E-02,0.15234375,0,0.784179688,0,0.878681841,3.75E-04
0.16,0.1,169,1.76E-02,9.28E-02,0,0.85546875,0,0.92709086,2.48E-04
0.16,0.15,169,1.76E-02,6.93E-02,0,0.916992188,0,0.942047822,2.34E-04
0.16,0.2,169,1.77E-02,3.13E-02,0,0.950195313,0,0.972116268,1.86E-04
0.16,0.25,169,1.78E-02,1.46E-02,0,0.959960938,0,0.984337733,1.76E-04
0.16,0.3,169,1.78E-02,1.46E-02,0,0.962890625,0,0.982744601,1.89E-04
0.16,0.35,169,1.78E-02,1.17E-02,0,0.970703125,0,0.984621251,1.17E-04
0.16,0.4,169,1.79E-02,1.76E-02,0,0.978515625,0,0.984151305,1.19E-04
0.16,0.45,169,1.79E-02,2.64E-02,0,0.97265625,0,0.979969073,1.01E-04
0.16,0.5,169,1.79E-02,1.17E-02,0,0.991210938,0,0.990300093,7.85E-05
0.16,0.55,169,1.80E-02,6.93E-02,0,0.966796875,0,0.948512793,1.21E-04
0.16,0.6,218,3.72E-02,0.3597625,6.69E-04,0.848555469,4.23E-04,0.732809085,2.33E-04
0.17,0.05,218,3.68E-02,0.145480078,1.55E-04,0.805351172,5.17E-04,0.884828583,4.47E-04
0.17,0.1,218,3.69E-02,3.32E-02,6.74E-05,0.912740625,4.65E-04,0.968766324,3.55E-04
0.17,0.15,218,3.70E-02,2.93E-02,0,0.952116797,1.68E-04,0.973730898,2.26E-04
0.17,0.2,218,3.70E-02,8.79E-03,0,0.965391797,4.82E-04,0.98903678,2.68E-04
0.17,0.25,218,3.71E-02,2.93E-03,0,0.972655469,1.75E-05,0.992830636,2.06E-04
0.17,0.3,218,3.71E-02,2.93E-03,0,0.99315625,8.16E-05,0.992624814,1.75E-04
0.17,0.35,218,3.71E-02,0,0,0.990198437,1.93E-04,0.996968668,1.63E-04
0.17,0.4,218,3.72E-02,8.79E-03,0,0.9843625,1.08E-04,0.991851292,1.24E-04
0.17,0.45,218,3.72E-02,0,0,0.987281641,1.47E-04,0.995819255,1.54E-04
